date,benzina,gasolio
2012-01-16,1.70935,1.68151
2012-01-23,1.71278,1.687
2012-01-30,1.71762,1.68518
2012-02-06,1.7268,1.68254
2012-02-13,1.73654,1.69114
2012-02-20,1.75249,1.70209
2012-02-27,1.76572,1.71295
2012-03-05,1.77122,1.71618
2012-03-19,1.81829,1.73055
2012-03-26,1.82916,1.73572
2012-04-02,1.84269,1.73819
2012-04-09,1.85086,1.73708
2012-04-16,1.85626,1.7351
2012-04-23,1.85382,1.73082
2012-04-30,1.85192,1.72734
2012-05-07,1.83102,1.72247
2012-05-14,1.78678,1.69462
2012-05-21,1.77745,1.68469
2012-05-28,1.77512,1.6792
2012-06-04,1.77829,1.67822
2012-06-11,1.76817,1.66454
2012-06-18,1.75534,1.64906
2012-06-25,1.73053,1.62276
2012-07-02,1.71988,1.61352
2012-07-09,1.74323,1.63469
2012-07-16,1.75758,1.64874
2012-07-23,1.77787,1.68295
2012-07-30,1.77947,1.68782
2012-08-06,1.78591,1.68927
2012-08-13,1.81209,1.71127
2012-08-20,1.84742,1.7403
2012-08-27,1.87013,1.75924
2012-09-03,1.87061,1.75994
2012-09-10,1.88981,1.7778
2012-09-17,1.87764,1.77315
2012-09-24,1.84573,1.74741
2012-10-01,1.84518,1.74667
2012-10-08,1.83678,1.74468
2012-10-15,1.84542,1.74997
2012-10-22,1.82477,1.74721
2012-10-29,1.79539,1.73179
2012-11-05,1.76335,1.71576
2012-11-12,1.74658,1.70488
2012-11-19,1.7497,1.70751
2012-11-26,1.75461,1.71226
2012-12-03,1.75021,1.70791
2012-12-10,1.74258,1.69914
2012-12-17,1.74542,1.69737
2013-01-14,1.75922,1.70029
2013-01-21,1.74223,1.68313
2013-01-28,1.7514,1.691
2013-02-04,1.76456,1.69441
2013-02-11,1.77832,1.69686
2013-02-18,1.79601,1.70501
2013-02-25,1.81042,1.71096
2013-03-04,1.80972,1.70602
2013-03-11,1.80382,1.69854
2013-03-18,1.78822,1.68698
2013-03-25,1.7804,1.67905
2013-04-08,1.77104,1.6673
2013-04-15,1.75309,1.64877
2013-04-22,1.72285,1.6216
2013-04-29,1.71115,1.60809
2013-05-06,1.71309,1.60848
2013-05-13,1.70984,1.60518
2013-05-20,1.71714,1.61503
2013-05-27,1.73297,1.62806
2013-06-03,1.73648,1.63124
2013-06-10,1.73546,1.62673
2013-06-17,1.73116,1.62202
2013-06-24,1.73215,1.62539
2013-07-01,1.73503,1.62578
2013-07-08,1.74069,1.63191
2013-07-15,1.76213,1.65272
2013-07-22,1.77141,1.66125
2013-07-29,1.77129,1.66073
2013-08-05,1.76981,1.65968
2013-08-12,1.76879,1.65831
2013-08-19,1.76201,1.65296
2013-08-26,1.76898,1.65996
2013-09-02,1.78163,1.66975
2013-09-09,1.78603,1.68074
2013-09-16,1.77587,1.68171
2013-09-23,1.75385,1.67751
2013-09-30,1.73359,1.66238
2013-10-07,1.73354,1.66307
2013-10-14,1.72867,1.6601
2013-10-21,1.72666,1.65837
2013-10-28,1.71723,1.65027
2013-11-04,1.70072,1.6339
2013-11-11,1.7004,1.63338
2013-11-18,1.70174,1.63538
2013-11-25,1.71412,1.64643
2013-12-02,1.72591,1.65681
2013-12-09,1.72842,1.65762
2013-12-16,1.72815,1.65597
2014-01-06,1.72928,1.65665
2014-01-13,1.72264,1.64969
2014-01-20,1.71835,1.64194
2014-01-27,1.71537,1.63949
2014-02-03,1.71375,1.63931
2014-02-10,1.7111,1.63642
2014-02-17,1.71466,1.63798
2014-02-24,1.71787,1.63692
2014-03-03,1.71787,1.63583
2014-03-10,1.7171,1.63536
2014-03-17,1.71282,1.62735
2014-03-24,1.70455,1.61599
2014-03-31,1.71444,1.62279
2014-04-07,1.72285,1.62743
2014-04-14,1.7256,1.62862
2014-04-28,1.73754,1.6331
2014-05-05,1.73896,1.63401
2014-05-12,1.73634,1.62997
2014-05-19,1.73487,1.62729
2014-05-26,1.73939,1.62938
2014-06-02,1.73927,1.63113
2014-06-09,1.74027,1.62899
2014-06-16,1.74144,1.62938
2014-06-23,1.75334,1.63747
2014-06-30,1.75934,1.64262
2014-07-07,1.7624,1.64338
2014-07-14,1.76322,1.63775
2014-07-21,1.75878,1.62654
2014-07-28,1.75795,1.62272
2014-08-04,1.75525,1.62308
2014-08-11,1.75142,1.62287
2014-08-18,1.74872,1.62166
2014-08-25,1.74116,1.61822
2014-09-01,1.73931,1.61749
2014-09-08,1.73693,1.61655
2014-09-15,1.7349,1.61528
2014-09-22,1.73005,1.612
2014-09-29,1.72417,1.60704
2014-10-06,1.72264,1.60605
2014-10-13,1.71765,1.59882
2014-10-20,1.69797,1.58219
2014-10-27,1.68098,1.57013
2014-11-03,1.66592,1.56269
2014-11-10,1.65731,1.55626
2014-11-17,1.64785,1.55105
2014-11-24,1.63472,1.54116
2014-12-01,1.62375,1.5316
2014-12-08,1.5956,1.50587
2014-12-15,1.56586,1.47266
2015-01-05,1.50575,1.42568
2015-01-12,1.47282,1.38785
2015-01-19,1.44829,1.35997
2015-01-26,1.43704,1.34799
2015-02-02,1.44571,1.35619
2015-02-09,1.47726,1.38776
2015-02-16,1.51369,1.42398
2015-02-23,1.53368,1.44655
2015-03-02,1.5468,1.46027
2015-03-09,1.56233,1.46837
2015-03-16,1.57558,1.46749
2015-03-23,1.57816,1.45647
2015-03-30,1.57803,1.45087
2015-04-13,1.57467,1.44183
2015-04-20,1.58472,1.45221
2015-04-27,1.60177,1.46784
2015-05-04,1.61062,1.47576
2015-05-11,1.61671,1.48184
2015-05-18,1.61612,1.48295
2015-05-25,1.61423,1.48216
2015-06-01,1.61616,1.48461
2015-06-08,1.61901,1.48216
2015-06-15,1.62321,1.47415
2015-06-22,1.63153,1.47323
2015-06-29,1.62785,1.46359
2015-07-06,1.6252,1.46032
2015-07-13,1.62805,1.45338
2015-07-20,1.62976,1.448
2015-07-27,1.61644,1.43292
2015-08-03,1.5926,1.41722
2015-08-10,1.57419,1.40217
2015-08-17,1.56333,1.39566
2015-08-24,1.54291,1.38151
2015-08-31,1.50609,1.35108
2015-09-07,1.49816,1.3572
2015-09-14,1.50248,1.36963
2015-09-21,1.48774,1.359
2015-09-28,1.47823,1.35225
2015-10-05,1.47302,1.34916
2015-10-12,1.4805,1.35362
2015-10-19,1.47641,1.35005
2015-10-26,1.46132,1.33899
2015-11-02,1.4558,1.3383
2015-11-09,1.46265,1.34565
2015-11-16,1.46079,1.34438
2015-11-23,1.45034,1.33434
2015-11-30,1.45751,1.33851
2015-12-07,1.46016,1.33309
2015-12-14,1.45112,1.31181
2015-12-21,1.43919,1.27833
2016-01-04,1.43007,1.25607
2016-01-11,1.42666,1.24732
2016-01-18,1.40938,1.22192
2016-01-25,1.39209,1.19601
2016-02-01,1.38746,1.18614
2016-02-08,1.39239,1.19752
2016-02-15,1.3735,1.19298
2016-02-22,1.36181,1.19203
2016-02-29,1.36122,1.19942
2016-03-07,1.37064,1.20728
2016-03-14,1.39151,1.22971
2016-03-21,1.4067,1.24324
2016-04-04,1.41336,1.2434
2016-04-11,1.41123,1.22562
2016-04-18,1.4262,1.23346
2016-04-25,1.43874,1.24714
2016-05-02,1.44696,1.26513
2016-05-16,1.44554,1.26848
2016-05-23,1.46342,1.28946
2016-05-30,1.47671,1.30985
2016-06-06,1.48445,1.3209
2016-06-13,1.47997,1.31929
2016-06-20,1.47396,1.31776
2016-06-27,1.47098,1.31512
2016-07-04,1.46826,1.31197
2016-07-18,1.44871,1.30379
2016-07-25,1.44446,1.29947
2016-08-01,1.43249,1.2894
2016-08-08,1.42253,1.28214
2016-08-15,1.42652,1.2825
2016-08-22,1.44135,1.29071
2016-08-29,1.45476,1.30683
2016-09-05,1.45677,1.30483
2016-09-12,1.452,1.2991
2016-09-19,1.45192,1.29749
2016-09-26,1.4519,1.29681
2016-10-03,1.45638,1.30242
2016-10-10,1.47123,1.31838
2016-10-17,1.48287,1.3302
2016-10-24,1.4872,1.33548
2016-10-31,1.49482,1.34052
2016-11-07,1.4871,1.33924
2016-11-14,1.4739,1.32348
2016-11-21,1.45841,1.31112
